S.N.,Winter_Trend,PreMonsoon_Alpha,PreMonsoon_Trend,Monsoon_Alpha,Monsoon_Trend,PostMonsoon_Alpha,PostMonsoon_Trend,Annual_Alpha,Glaciers Number,Glaciers Area (sq. km),Glacial Lakes Number,Glacier_Lake_Ratio,Total_Trend_Magnitude,High_Monsoon_Trend,Cluster
-1.709108724329423,-0.6980652866677463,0,-0.8305869460595446,0,0.8076930672490293,0,0.0183739150080933,0,0.9917809770893592,-0.4432793561266386,1.006460933716126,-0.4736321859217141,2.184986519873401,1,0.0
-1.6629165966448438,0.768974148766306,0,1.16294461040752,0,-0.3721036650222292,0,-0.4026949705940481,0,0.6526244875486668,1.3005034051068292,-1.3135184868441705,0.3136469549782064,1.6706756155302256,0,1.0
-1.616724468960265,-0.9914731737545568,0,-0.3423547026976427,0,1.4564304008508724,0,-0.6323689081952159,0,0.6526244875486668,1.3005034051068292,-1.3135184868441705,0.3136469549782064,3.3225332346493714,1,1.0
-1.570532341275686,0.1332570600782167,0,-0.9229478513802796,0,0.756397557150279,0,0.8605116862123758,0,-2.699039644382881,-2.916354440399337,-1.7100644900389816,3.9636329412666553,1.4846092825151591,1,2.0
-1.5243402135911068,-0.8936705447256199,0,-1.607476606229843,0,0.8951971727116036,0,0.6691167382114025,0,0.9917809770893592,-0.4432793561266386,1.006460933716126,-0.4736321859217141,1.9204407882950856,1,0.0
-1.478148085906528,-0.795867915696683,0,-1.0817508533784372,0,0.6658760687407195,0,1.5495334990158798,0,0.9917809770893592,-0.4432793561266386,1.006460933716126,-0.4736321859217141,1.9617996779091955,1,0.0
-1.431955958221949,1.2090859793965216,+,0.8547912787689278,0,1.2784048069787386,0,1.3198595614147115,0,0.9917809770893592,-0.4432793561266386,1.006460933716126,-0.4736321859217141,3.715878788271796,1,0.0
-1.3857638305373698,-0.6491639721532778,0,-0.0452932009496954,0,-0.7311722357134818,0,-0.6323689081952159,0,-0.7581525067592553,-0.2259855541037766,0.4764975836520327,-0.432282470039156,2.3226507395088563,0,3.0
-1.339571702852791,2.089309640656953,0,0.6896399439140245,+,2.0689591390888915,0,1.0519066342133492,*,0.9917809770893592,-0.4432793561266386,1.006460933716126,-0.4736321859217141,6.449527540787588,1,0.0
-1.293379575168212,0.1821583745926851,0,0.5569096065008976,0,0.0292082669268178,0,0.5542797694108186,0,-0.7581525067592553,-0.2259855541037766,0.4764975836520327,-0.432282470039156,0.4451592057315666,1,3.0
-1.2471874474836329,-0.6980652866677463,0,-0.0061629009417576,0,-0.0522610726417856,0,-1.2831117313985252,0,-0.7581525067592553,-0.2259855541037766,0.4764975836520327,-0.432282470039156,1.055676156878964,0,3.0
-1.200995319799054,-0.5024600286098726,+,1.9146752735851456,0,0.1408514359652745,0,0.4777217902104292,0,0.6526244875486668,1.3005034051068292,-1.3135184868441705,0.3136469549782064,1.2427651007601657,1,1.0
-1.154803192114475,0.4755662616794956,0,-0.7019042034208527,0,0.222320775533878,0,1.0901856238135437,0,-2.699039644382881,-2.916354440399337,-1.7100644900389816,3.9636329412666553,1.1223430101532992,1,2.0
-1.108611064429896,0.3288623181360904,0,-0.601672974927605,0,0.0533473305027003,0,0.3628848214098453,0,0.9917809770893592,-0.4432793561266386,1.006460933716126,-0.4736321859217141,0.429721676549165,1,0.0
-1.062418936745317,0.768974148766306,0,0.6880528606998381,0,-0.2966690913475963,0,-0.6323689081952159,0,0.9917809770893592,-0.4432793561266386,1.006460933716126,-0.4736321859217141,1.394987204471734,0,0.0
-1.016226809060738,-1.2848810608413672,0,-1.1297539071945446,0,0.4305201988758648,0,0.286326842209456,0,-2.699039644382881,-2.916354440399337,-1.7100644900389816,3.9636329412666553,1.724605858448841,1,2.0
